architecture:science:cost
["","","BK","","E"]:0.0079923027:1023.90313265
["","DI","","","D"]:0.00626735275218:2142.38953133
["","I","","AJ",""]:0.00608362013018:1388.62291952
["","EG","L","",""]:0.0751700144625:1355.99486195
["","DJ","","H",""]:0.0155493656359:1278.37991962
["","","D","C","I"]:0.0356706856785:2170.90874972
["","L","F","","I"]:0.116252982893:2009.4204961
["H","","DI","",""]:0.010874309375:1506.86671016
["","","B","BF",""]:0.0274095341286:1567.26834397
["","A","EI","",""]:0.0144620975:1877.89940764
["","E","J","","L"]:0.057578128125:1448.94643905
["","BH","","E",""]:0.046281615725:940.447010586
["A","G","","","E"]:0.0434803490375:1288.99767997
["","I","","FI",""]:0.0267778183973:2118.35689904
["","","","F","GH"]:0.0815468695804:1490.02879147
["","","","C","GI"]:0.0503600629396:1873.68072053
["L","BK","","",""]:0.08685195:811.523052971
["D","G","","","E"]:0.0327042010626:1895.62332823
["BF","","F","",""]:0.0562426056934:2339.32775044
["","","","BGL",""]:0.0786040769625:839.092137113
["L","I","","","G"]:0.0885147689677:1447.86377766
["","G","DK","",""]:0.0210259488375:1580.94311165
["","","I","A","B"]:0.02944290135:1176.36414473
["","F","C","F",""]:0.0429281053708:2605.09934712
["","","GH","A",""]:0.0210259488375:744.50089107
["","","","BJ","H"]:0.0299760794523:898.974864181
["B","J","H","",""]:0.0658973975349:884.259353572
["AL","F","","",""]:0.0964552710159:1536.4931958
["","","","FK","G"]:0.0462108400089:1635.75700471
["AK","","B","",""]:0.0144620975:702.221044375
["","L","","","EL"]:0.0668538483822:1895.79962019
["","","BF","","L"]:0.0762655341274:1698.57793343
["J","","","C","L"]:0.102059937523:1488.65997305
["J","H","J","",""]:0.0615583990724:1063.5085696
["","K","","","HJ"]:0.059136726514:805.294708062
["FI","I","","",""]:0.0431763770016:2175.12624909
["","CDL","","",""]:0.0111972540527:2433.40862938
["I","","GI","",""]:0.0215540409171:1944.77318548
["D","","D","F",""]:0.0381762799703:2744.64810734
["F","B","H","",""]:0.0683891229933:1445.04840526
["B","AK","","",""]:0.0368039:703.074785445
["A","","C","G",""]:0.037292855:1349.86054154
["","L","","HI",""]:0.054144065625:1126.0406454
["C","","","EF",""]:0.0336022067321:2598.43048018
["","GL","","","G"]:0.0764856780375:1083.88359361
["F","","F","E",""]:0.0576549764442:2609.69789396
["I","","","L","H"]:0.094534003482:1204.72089303
["","DH","","","I"]:0.0394758105951:1627.89083439
["CJ","","L","",""]:0.0935149832325:1875.35171233
["DJ","","","","K"]:0.0227918819414:1325.56022406
["","","B","E","H"]:0.037613798275:1030.21271032
["C","J","","","E"]:0.0572085697066:1729.99541222
["F","DI","","I",""]:0.0457854160859:2998.55222983
["","FG","D","","B"]:0.0633918093151:2774.68073218
["D","","","CL","L"]:0.0651305314001:2182.90301311
["J","","F","","BK"]:0.0992058709419:1820.34550666
["","","D","I","BE"]:0.0272362466961:2894.71528066
["L","","","","AFG"]:0.0884055515716:2233.90136038
["","ABH","","","H"]:0.0722467275:672.018343628
["BL","E","G","",""]:0.111109398938:1595.63376722
["I","CJ","","","C"]:0.0508192327295:2782.22094095
["","E","","E","DE"]:0.0152849059559:2778.92112777
["","D","J","EI",""]:0.00588450896171:2860.99993863
["G","","I","EL",""]:0.0947754813937:2680.45548537
["E","G","","F","H"]:0.0825309964054:2243.8897597
["F","K","L","","G"]:0.102710334698:2039.7010482
["","F","","AE","F"]:0.047855920612:3303.70610108
["E","","","IL","J"]:0.0742805801986:2173.06006126
