architecture:science:cost
["","D","","",""]:0.00203289883309:865.849674871
["","CD","","",""]:0.00230546603311:1934.95298161
["","B","","",""]:0.02544675:268.755022137
["","BD","","",""]:0.00622742358321:1183.50013427
["","BC","","",""]:0.02621140125:874.601101157
["","BCD","","",""]:0.00598060010992:2261.9980502
["","A","","",""]:0.0144620975:259.280018059
["","AC","","",""]:0.01675605125:863.052002038
["","AB","","",""]:0.0368039:443.724649655
["","ABD","","",""]:0.00765612057341:1489.90482047
["","ABC","","",""]:0.0293607755408:1871.8188203
["","ABCD","","",""]:0.00734435926068:2567.31464941
["D","B","","",""]:0.0291326995251:1134.84643932
["D","BD","","",""]:0.0114956721623:2049.34980914
["D","BCD","","",""]:0.0113590964981:3127.84772507
["D","AC","","",""]:0.0204420007751:1728.90167691
["D","AB","","",""]:0.0404898495251:1309.57432453
["D","ABD","","",""]:0.0130429838764:2355.75449534
["D","ABC","","",""]:0.033046725066:2737.66849517
["D","ABCD","","",""]:0.0128281793499:3433.16432428
["C","BC","","",""]:0.02699922375:1557.97085679
["CD","CD","","",""]:0.00748075070317:3869.90596322
["CD","B","","",""]:0.0290283926983:2203.65799267
["CD","BCD","","",""]:0.011115058146:4196.95103181
["CD","A","","",""]:0.0180437401983:2194.17700822
["CD","AC","","",""]:0.0209906997232:2798.00498365
["CD","AB","","",""]:0.0403855426983:2378.67763126
["CD","ABC","","",""]:0.033423304777:3806.77180191
["CD","ABCD","","",""]:0.0126368792978:4502.26763102
["B","B","","",""]:0.02944290135:537.510044275
["B","BD","","",""]:0.0312962564115:1452.20514533
["B","ACD","","",""]:0.0292203203092:2508.57539976
["B","AB","","",""]:0.04080005135:712.429660715
["BD","BC","","",""]:0.0335679624235:2058.10123542
["BD","A","","",""]:0.0213999897567:1442.72416088
["BD","AC","","",""]:0.0236939435067:2046.55213631
["BD","AB","","",""]:0.0441604611735:1627.22478392
["BD","ABD","","",""]:0.0133808533638:2673.40495474
["BD","ABC","","",""]:0.0358442789868:3055.31895457
["BD","ABCD","","",""]:0.0133948747301:3750.81478368
["BC","CD","","",""]:0.0289002396079:2809.55408277
["BC","AC","","",""]:0.03835637375:1737.65310319
["BC","ACD","","",""]:0.0306468129469:3114.47148985
["BC","ABD","","",""]:0.0337695450371:2364.50592163
["BC","ABC","","",""]:0.0398712758425:2746.41992146
["BC","ABCD","","",""]:0.0343582833676:3441.91575057
["BCD","AC","","",""]:0.0240690618049:3125.05005223
["BCD","AB","","",""]:0.0440841835348:2705.72269985
["BCD","ABC","","",""]:0.0362600864885:4133.8168705
["BCD","ABCD","","",""]:0.0128424361284:4829.31269961
["A","BCD","","",""]:0.0196934968675:2521.22207681
["A","AD","","",""]:0.0163531661819:1422.65333288
["AC","ACD","","",""]:0.0193203009116:3102.92239073
["AC","ABCD","","",""]:0.0223430277295:3430.36665145
["AB","ABD","","",""]:0.0425347916876:1933.62947013
["AB","ABCD","","",""]:0.0425539836509:3011.03929906
["ABD","AC","","",""]:0.0232499184023:2352.95682251
["ABC","ACD","","",""]:0.0317529059654:4111.689209
["ABC","ABCD","","",""]:0.0347373559776:4439.13346971
["ABCD","ABCD","","",""]:0.0121706952575:5134.62929882
