architecture:science:cost
["BE","","BEF","DE",""]:0.0532834863182:5392.05055323
["EF","","A","BDE",""]:0.0367049668281:4137.81049252
["CDE","","A","ABF",""]:0.0270987244926:4798.6542005
["C","","ABCE","BCEF",""]:0.0331052050844:6539.55041823
["","","BDE","BEF",""]:0.0252810485522:4249.11592636
["BCE","","A","ABF",""]:0.0406186704001:4391.52146751
["ACDEF","","BEF","AF",""]:0.0393763012347:7659.14748235
["ACDF","","AE","ADEF",""]:0.0280080761714:7131.4086038
["CDF","","ABDF","ABD",""]:0.0157451915778:6440.97135493
["B","","","DE",""]:0.0320530900214:1975.632551
["ABF","","ACEF","ADEF",""]:0.0507683009209:7618.17761193
["AD","","EF","D",""]:0.0316581356393:3933.52461122
["ABD","","ACF","ABCF",""]:0.0406314336087:6233.31758707
["BCE","","ACEF","ABEF",""]:0.049017123529:8234.43239277
["CDEF","","DF","BDEF",""]:0.0170114608779:8126.06941605
["ACD","","BE","BD",""]:0.00598159307953:4793.64202646
["ABCDE","","ABDE","ACD",""]:0.00932631817827:8041.0979282
["D","","AEF","AB",""]:0.0260275625791:3557.66099835
["ADE","","B","CEF",""]:0.0330717344474:5236.19932344
["AF","","ACDE","ABCF",""]:0.0479583152367:6919.6023484
["ADF","","ABCEF","BD",""]:0.0261952397634:6811.87738848
["BC","","ABF","AC",""]:0.0504898340467:3269.086947
["ADF","","ABF","CDEF",""]:0.0336237760488:7065.84807525
["CDEF","","C","ACF",""]:0.0374150718886:6615.9304518
["AEF","","ABCE","E",""]:0.0464380420643:5694.40199182
["BCDF","","D","AE",""]:0.025046535511:5376.78781978
["ABCDF","","BDE","A",""]:0.0172431596544:5838.79047508
["ABDE","","ABDEF","BCDE",""]:0.0177179255142:8681.94636928
["EF","","ABDE","ABDEF",""]:0.0417451923913:7290.60128438
["AE","","CDF","AEF",""]:0.0505615163345:6202.6781087
["ABCF","","ACDEF","DE",""]:0.0451721972789:8439.29153849
["AD","","ABE","DE",""]:0.013541174662:4531.72461598
["CD","","BF","ACDF",""]:0.0367912566302:5929.10678189
["ABD","","ABCDE","ABCE",""]:0.0172598357834:7521.12962479
["F","","CDEF","AE",""]:0.0607170265228:6084.40915523
["ABCDF","","ABCE","DEF",""]:0.0271265266602:8595.13690768
["ABDF","","ABCD","ABCDF",""]:0.0195525014891:7831.1204171
["ACDE","","BEF","ABCE",""]:0.0350521803495:8025.36750278
["E","","BE","C",""]:0.01028625645:2768.67141786
["ABEF","","BD","BD",""]:0.0342958248727:4879.88844023
["BDEF","","CF","ABCDEF",""]:0.0451613200331:8888.34591456
["F","","C","ABCF",""]:0.0543200949942:4060.04224351
["BDEF","","CE","BD",""]:0.0278392883697:6352.19326119
["AC","","ABE","AEF",""]:0.049002097036:4708.26279749
["BCE","","CD","AD",""]:0.0174781612267:5546.08775554
["CF","","","CDE",""]:0.0405145450842:4680.3191589
["BDE","","ABD","ACDE",""]:0.00889277943355:6521.08183054
["A","","ABE","ABC",""]:0.0154014161255:3819.91999875
["ABCD","","BD","BE",""]:0.016789036489:5130.68239787
["AB","","ABCDEF","BEF",""]:0.0693019833259:6892.40018855
["ABDEF","","ACF","DEF",""]:0.0402250634405:8034.0022462
["ABCDF","","AB","ABCD",""]:0.0168974693568:6132.97750043
["A","","BF","DF",""]:0.0469853717408:3094.79779329
["ABC","","AF","A",""]:0.0579083922209:3429.73192612
["BDEF","","BCEF","ABDF",""]:0.0315899298782:8541.0936009
["AB","","C","ABCF",""]:0.0613126580969:3589.88919842
["CD","","ABD","BCDEF",""]:0.0131682287997:7115.26507336
