architecture:science:cost
["ABCDEF","","AB","CF",""]:0.0412188502098:6764.80917893
["ACF","","BCF","BCEF",""]:0.0447609073529:7798.30559229
["AB","","ABCF","CE",""]:0.0687732104579:5141.71923348
["CDEF","","ABDEF","E",""]:0.0264199042797:7707.32312717
["C","","ACD","ABDE",""]:0.0092104318957:5152.10693412
["ABD","","BE","B",""]:0.0124625383046:3218.25648698
["D","","D","",""]:0.00368594952512:1726.61568155
["","","BDF","CDEF",""]:0.0116112745956:5433.54415071
["BDF","","ABCDE","ACDEF",""]:0.0203231370989:9093.88829478
["CD","","ACDEF","B",""]:0.0120803290294:6314.31645011
["DE","","ADEF","BDE",""]:0.0134320557456:6721.8037437
["BE","","ACE","ACE",""]:0.0328472950389:6173.45921531
["ACDE","","BDEF","ACDF",""]:0.0163783031505:8955.03869883
["BC","","BCD","BF",""]:0.0544087578786:4415.00916644
["B","","AB","DEF",""]:0.0405151888774:3213.86378199
["","","ABCE","BE",""]:0.0108969767601:4138.21535675
["DF","","BF","ABEF",""]:0.0373537006902:5406.29424114
["B","","ABCDE","F",""]:0.0640387539437:4863.21386768
["ABDF","","ABC","EF",""]:0.0456355111103:6003.21401944
["ABF","","BCDEF","BC",""]:0.0540190173365:6560.09854429
["ABC","","ACEF","BC",""]:0.0558081303101:6041.63499016
["AC","","AF","A",""]:0.04530366793:2420.96510786
["ABCDF","","ACEF","ABCF",""]:0.0331769296126:9214.29397444
["ABE","","E","ABDE",""]:0.035302679352:4552.90224553
["ABCDEF","","EF","BCD",""]:0.0402664778951:8462.52195502
["ABC","","D","",""]:0.0293607755408:2732.58482698
["D","","BEF","",""]:0.0252087600064:3168.3497159
["CDEF","","ABCEF","BDF",""]:0.0262703421299:9376.37579556
["CDF","","ABDE","E",""]:0.0259292242302:5778.95838549
["BC","","DF","",""]:0.035554257618:2569.2839979
["ADF","","CF","AF",""]:0.0408454558898:5255.57747985
["BC","","ABDF","BEF",""]:0.0594238630632:5285.67073139
["ACDF","","DF","BDE",""]:0.0187788374902:6792.96521641
["DE","","BCD","BDF",""]:0.0124345992817:5983.47145979
["AF","","ABCE","ABCDE",""]:0.0498695326148:7223.18597062
["BD","","AD","BF",""]:0.0351440124738:3634.07770826
["ABCDE","","ABF","ABCDEF",""]:0.0377001717498:9020.71009309
["ABDE","","ABCDF","CE",""]:0.0323101023347:7793.21209806
["CDF","","ACE","BC",""]:0.0210154630027:6059.13146787
["AB","","BCEF","AF",""]:0.0737053166961:5055.03949293
["ABC","","ACEF","BCEF",""]:0.0616578193817:8189.04550301
["BC","","BF","CF",""]:0.0601018826356:4024.04420073
["AE","","ABCDF","BDEF",""]:0.0344636910286:7447.46173701
["D","","B","F",""]:0.0381762799703:2151.73337065
["C","","ACD","DE",""]:0.00929550762144:4609.62248412
["BCD","","BCD","ABCDE",""]:0.00907692522485:7659.61375192
["ABDEF","","D","F",""]:0.0455818310345:5132.79787566
["AB","","ABCD","ACD",""]:0.0390173181408:4956.47659918
["CDF","","ACE","EF",""]:0.0435810827599:7010.34931904
["BEF","","DE","F",""]:0.0523936936459:5068.76356259
["BCDEF","","ABDEF","BC",""]:0.0263790938904:8279.99661287
["CDE","","ACDE","ACD",""]:0.00508347973555:8167.32245315
["B","","AEF","ABCDE",""]:0.0558096443496:5726.4112835
["E","","C","AC",""]:0.007609801725:2066.0064891
["BE","","ACEF","CD",""]:0.0488060562043:6597.83046574
["BD","","BCDF","BC",""]:0.0226129759864:5056.86202324
["AE","","ABE","B",""]:0.0211680991102:3482.86285289
["BC","","BCDF","ABCEF",""]:0.0552936875506:7249.03175015
["ABDF","","DE","ABCEF",""]:0.0303732545215:7440.81183634
["ACF","","ADEF","B",""]:0.0419402911371:5649.65231299
["AE","","A","BEF",""]:0.046548421011:3820.13913461
["ABF","","B","BCE",""]:0.0500675570038:4333.01590788
["ABCEF","","BCD","BCDF",""]:0.0356316746267:8694.23721025
["","","ABEF","",""]:0.019120264195:2597.19552528
["AE","","F","EF",""]:0.0658042235401:4182.29416391
["BEF","","D","ABCEF",""]:0.0431944277375:6476.41122373
["ACDF","","BC","A",""]:0.0206207182884:4234.70776158
["ABDEF","","ABCE","ACDF",""]:0.0246660517922:8868.72640861
["AC","","ADF","BCDE",""]:0.0309589153872:5714.34137902
["AB","","F","F",""]:0.0777290200863:2363.82705126
["C","","AB","ACDEF",""]:0.0169582785315:4808.50794919
["AE","","CDF","AB",""]:0.0226275584748:4627.40358521
["A","","DE","BC",""]:0.01675605125:2916.92042919
["AB","","BCF","E",""]:0.0707655596135:3434.44856237
["ADF","","BCE","BCDF",""]:0.0208676199284:7218.21059122
["BC","","CDEF","F",""]:0.0702220258794:5593.01833287
["DEF","","CD","AD",""]:0.0135973431069:5681.97227102
["BCD","","DE","ACD",""]:0.00836003464921:6055.22511885
["DE","","ABCDF","CF",""]:0.0392385166864:7066.92713055
["ACE","","DF","BDEF",""]:0.0312387220366:6815.17257096
["ABCF","","","BEF",""]:0.0447559745843:4815.379625
["ABDEF","","ACD","AC",""]:0.02373045506:6331.56375781
["ADE","","","BCD",""]:0.00569264572624:4255.88900781
["F","","ABDEF","AE",""]:0.0604414334325:5600.59773926
["ADE","","ABCDEF","ADE",""]:0.0146925937408:8460.29378669
["CE","","BCD","BD",""]:0.00451768047649:5563.87324201
["CDE","","ACDEF","BE",""]:0.0213497188112:8378.7427369
["BCE","","ACD","BE",""]:0.0271942262979:6070.24253818
["AEF","","AF","",""]:0.0429619153152:3611.61149718
["BD","","AE","AF",""]:0.0402436520649:3915.92516604
["","","","BEF",""]:0.0240891773239:2198.94799475
["CE","","AD","AB",""]:0.00222512620484:3801.44117504
["BC","","ACF","CEF",""]:0.0651447114771:5948.70404608
["F","","","AB",""]:0.0429423729933:1420.79375648
["BF","","ABCDE","ACDEF",""]:0.0530550397094:8406.42734741
["BC","","ACEF","BCDEF",""]:0.0606351711806:7787.87992846
["BE","","ABCDEF","BCDEF",""]:0.0407572574761:9438.91157134
["ACDE","","ABD","ABCDF",""]:0.0135119775483:7801.64730893
["ABCD","","ACDE","ABEF",""]:0.0312547685793:8164.4107088
["ABC","","BC","A",""]:0.0313281210478:2990.23865516
["AB","","CE","CEF",""]:0.0727755627898:5357.75482007
["ABDE","","ABC","ABDF",""]:0.0200997541335:6491.55414387
["A","","","AC",""]:0.01675605125:1084.38693705
["A","","BEF","AB",""]:0.0359849079813:2973.21327744
["C","","ABD","AF",""]:0.0310358957877:3446.94689805
["ABD","","BC","BDEF",""]:0.0275057177399:5133.79439614
["AF","","CF","ABDE",""]:0.0510266294044:5633.87583251
["CDE","","ABCEF","D",""]:0.0236344135162:7486.59417766
["F","","BEF","AE",""]:0.0604414334325:4586.26647378
["CDE","","ACDEF","AB",""]:0.0128953116556:7499.64373952
